"COCNUM","pop","CoC Name","CoC Category","Overall Homeless, 2022","homeless_ratio","is_king","class"
"OK-506",404679,"Southwest Oklahoma Regional CoC","Largely Rural CoC",134,3.3,"FALSE","1"
"OK-507",521771,"Southeastern Oklahoma Regional CoC","Largely Rural CoC",310,5.9,"FALSE","2"
"OR-500",382353,"Eugene, Springfield/Lane County CoC","Other Largely Urban CoC",2880,75.3,"FALSE","9"
"OR-501",795083,"Portland, Gresham/Multnomah County CoC","Major City CoC",5228,65.8,"FALSE","9"
"OR-502",221644,"Medford, Ashland/Jackson County CoC","Largely Suburban CoC",1251,56.4,"FALSE","9"
"OR-503",258254,"Central Oregon CoC","Largely Rural CoC",1359,52.6,"FALSE","9"
"OR-505",1559450,"Oregon Balance of State CoC","Largely Rural CoC",4057,26,"FALSE","6"
"OR-506",600176,"Hillsboro, Beaverton/Washington County CoC","Largely Suburban CoC",808,13.5,"FALSE","3"
"OR-507",423177,"Clackamas County CoC","Largely Suburban CoC",571,13.5,"FALSE","3"
"PA-500",1567258,"Philadelphia CoC","Major City CoC",4489,28.6,"FALSE","6"
"PA-501",288800,"Harrisburg/Dauphin County CoC","Largely Suburban CoC",423,14.6,"FALSE","3"
"PA-502",575182,"Upper Darby, Chester, Haverford/Delaware County CoC","Largely Suburban CoC",335,5.8,"FALSE","2"
"PA-503",326369,"Wilkes-Barre, Hazleton/Luzerne County CoC","Largely Suburban CoC",150,4.6,"FALSE","1"
"PA-504",864683,"Lower Merion, Norristown, Abington/Montgomery County CoC","Largely Suburban CoC",568,6.6,"FALSE","2"
"PA-505",545823,"Chester County CoC","Largely Suburban CoC",402,7.4,"FALSE","2"
"PA-506",430449,"Reading/Berks County CoC","Largely Suburban CoC",573,13.3,"FALSE","3"
"PA-508",215615,"Scranton/Lackawanna County CoC","Largely Suburban CoC",188,8.7,"FALSE","2"
"PA-509",3139632,"Eastern Pennsylvania CoC","Largely Rural CoC",2290,7.3,"FALSE","2"
"PA-510",556629,"Lancaster City & County CoC","Largely Suburban CoC",472,8.5,"FALSE","2"
"PA-511",645054,"Bristol, Bensalem/Bucks County CoC","Largely Suburban CoC",427,6.6,"FALSE","2"
"PA-512",461058,"York City & County CoC","Largely Suburban CoC",358,7.8,"FALSE","2"
"PA-600",1233253,"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC","Largely Suburban CoC",880,7.1,"FALSE","2"
"PA-601",1688837,"Western Pennsylvania CoC","Largely Rural CoC",735,4.4,"FALSE","1"
"PA-603",165677,"Beaver County CoC","Largely Suburban CoC",103,6.2,"FALSE","2"
"PA-605",267689,"Erie City & County CoC","Largely Suburban CoC",298,11.1,"FALSE","3"
"RI-500",1093734,"Rhode Island Statewide CoC","Largely Suburban CoC",1577,14.4,"FALSE","3"
"SC-500",1115651,"Charleston/Low Country CoC","Largely Suburban CoC",324,2.9,"FALSE","1"
"SC-501",1617099,"Greenville, Anderson, Spartanburg/Upstate CoC","Largely Suburban CoC",1263,7.8,"FALSE","2"
"SC-502",1595896,"Columbia/Midlands CoC","Largely Suburban CoC",987,6.2,"FALSE","2"
"SC-503",953988,"Myrtle Beach, Sumter City & County CoC","Largely Rural CoC",1034,10.8,"FALSE","3"
"SD-500",896305,"South Dakota Statewide CoC","Largely Rural CoC",1389,15.5,"FALSE","4"
"TN-500",723408,"Chattanooga/Southeast Tennessee CoC","Largely Rural CoC",3392,46.9,"FALSE","9"
"TN-501",916371,"Memphis/Shelby County CoC","Major City CoC",1055,11.5,"FALSE","3"
"TN-502",494574,"Knoxville/Knox County CoC","Largely Suburban CoC",1178,23.8,"FALSE","5"
"TN-503",1322881,"Central Tennessee CoC","Largely Rural CoC",387,2.9,"FALSE","1"
"TN-506",628920,"Upper Cumberland CoC","Largely Rural CoC",382,6.1,"FALSE","2"
"TN-507",671868,"Jackson/West Tennessee CoC","Largely Rural CoC",906,13.5,"FALSE","3"
"TN-509",525455,"Appalachian Regional CoC","Largely Rural CoC",392,7.5,"FALSE","2"
"TN-510",360619,"Murfreesboro/Rutherford County CoC","Largely Suburban CoC",371,10.3,"FALSE","3"
"TN-512",699099,"Morristown/Blount, Sevier, Campbell, Cocke Counties CoC","Largely Rural CoC",588,8.4,"FALSE","2"
"TX-500",2426932,"San Antonio/Bexar County CoC","Major City CoC",2995,12.3,"FALSE","3"
"TX-503",1997854,"Austin/Travis County CoC","Major City CoC",3157,15.8,"FALSE","4"
"TX-600",4267292,"Dallas City & County, Irving CoC","Major City CoC",4410,10.3,"FALSE","3"
"TX-601",3493216,"Fort Worth, Arlington/Tarrant County CoC","Major City CoC",1665,4.8,"FALSE","1"
"TX-603",868763,"El Paso City & County CoC","Major City CoC",836,9.6,"FALSE","2"
"TX-604",382114,"Waco/McLennan County CoC","Largely Rural CoC",195,5.1,"FALSE","2"
"TX-607",7736752,"Texas Balance of State CoC","Largely Rural CoC",7054,9.1,"FALSE","2"
"TX-611",261785,"Amarillo CoC","Other Largely Urban CoC",661,25.2,"FALSE","6"
"TX-624",340966,"Wichita Falls/Wise, Palo Pinto, Wichita, Archer Counties CoC","Largely Rural CoC",249,7.3,"FALSE","2"
"TX-700",6348549,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery, Counties CoC","Major City CoC",3124,4.9,"FALSE","1"
"TX-701",364076,"Bryan, College Station/Brazos Valley CoC","Other Largely Urban CoC",86,2.4,"FALSE","1"
"UT-500",1186257,"Salt Lake City & County CoC","Largely Suburban CoC",2095,17.7,"FALSE","4"
"UT-503",1412454,"Utah Balance of State CoC","Largely Suburban CoC",1221,8.6,"FALSE","2"
"UT-504",782089,"Provo/Mountainland CoC","Largely Suburban CoC",241,3.1,"FALSE","1"
"VA-500",1143892,"Richmond/Henrico, Chesterfield, Hanover Counties CoC","Largely Suburban CoC",697,6.1,"FALSE","2"
"VA-501",650350,"Norfolk, Chesapeake, Suffolk/Isle of Wight, Southampton Counties CoC","Largely Suburban CoC",738,11.3,"FALSE","3"
"VA-502",279780,"Roanoke City & County, Salem CoC","Largely Suburban CoC",216,7.7,"FALSE","2"
"VA-503",455618,"Virginia Beach CoC","Major City CoC",352,7.7,"FALSE","2"
"VA-504",263941,"Charlottesville CoC","Largely Rural CoC",266,10.1,"FALSE","3"
"VA-505",503374,"Newport News, Hampton/Virginia Peninsula CoC","Other Largely Urban CoC",419,8.3,"FALSE","2"
"VA-507",97029,"Portsmouth CoC","Other Largely Urban CoC",120,12.4,"FALSE","3"
"VA-508",263613,"Lynchburg CoC","Largely Rural CoC",84,3.2,"FALSE","1"
"VA-513",384966,"Harrisburg, Winchester/Western Virginia CoC","Largely Rural CoC",426,11.1,"FALSE","3"
"VA-514",398638,"Fredericksburg/Spotsylvania, Stafford Counties CoC","Largely Suburban CoC",253,6.3,"FALSE","2"
"VA-521",1453871,"Virginia Balance of State CoC","Largely Rural CoC",1125,7.7,"FALSE","2"
"VA-600",234000,"Arlington County CoC","Other Largely Urban CoC",182,7.8,"FALSE","2"
"VA-601",1138331,"Fairfax County CoC","Largely Suburban CoC",1191,10.5,"FALSE","3"
"VA-602",432085,"Loudoun County CoC","Largely Suburban CoC",99,2.3,"FALSE","1"
"VA-603",155525,"Alexandria CoC","Other Largely Urban CoC",120,7.7,"FALSE","2"
"VA-604",486943,"Prince William County CoC","Largely Suburban CoC",241,4.9,"FALSE","1"
"VT-500",477763,"Vermont Balance of State CoC","Largely Rural CoC",2112,44.2,"FALSE","9"
"VT-501",169301,"Burlington/Chittenden County CoC","Other Largely Urban CoC",668,39.5,"FALSE","8"
"WA-500",2266789,"Seattle/King County CoC","Major City CoC",13368,59,"TRUE","9"
"WA-501",2316112,"Washington Balance of State CoC","Largely Rural CoC",5854,25.3,"FALSE","6"
"WA-502",549690,"Spokane City & County CoC","Other Largely Urban CoC",1757,32,"FALSE","7"
"WA-503",927380,"Tacoma, Lakewood/Pierce County CoC","Largely Suburban CoC",1851,20,"FALSE","5"
"WA-504",840079,"Everett/Snohomish County CoC","Largely Suburban CoC",1184,14.1,"FALSE","3"
"WA-508",628735,"Vancouver/Clark County CoC","Largely Suburban CoC",1197,19,"FALSE","4"
"WI-500",4209829,"Wisconsin Balance of State CoC","Largely Rural CoC",3049,7.2,"FALSE","2"
"WI-501",918661,"Milwaukee City & County CoC","Major City CoC",832,9.1,"FALSE","2"
"WI-502",195846,"Racine City & County CoC","Largely Suburban CoC",193,9.9,"FALSE","2"
"WI-503",568203,"Madison/Dane County CoC","Other Largely Urban CoC",701,12.3,"FALSE","3"
"WV-500",135129,"Wheeling, Weirton Area CoC","Largely Rural CoC",122,9,"FALSE","2"
"WV-501",130728,"Huntington/Cabell, Wayne Counties CoC","Largely Rural CoC",235,18,"FALSE","4"
"WV-503",261312,"Charleston/Kanawha, Putnam, Boone, Clay Counties CoC","Largely Suburban CoC",298,11.4,"FALSE","3"
"WV-508",1247987,"West Virginia Balance of State CoC","Largely Rural CoC",720,5.8,"FALSE","2"
"WY-500",581381,"Wyoming Statewide CoC","Largely Rural CoC",648,11.1,"FALSE","3"
"CA-531",103457,"Nevada County CoC","Largely Rural CoC",527,50.9,"FALSE","9"
"CA-606",456062,"Long Beach CoC","Major City CoC",3296,72.3,"FALSE","9"
"CA-607",135732,"Pasadena CoC","Other Largely Urban CoC",512,37.7,"FALSE","8"
"CA-612",192366,"Glendale CoC","Other Largely Urban CoC",225,11.7,"FALSE","3"
"CO-505",702524,"Fort Collins, Greeley, Loveland/Larimer, Weld Counties CoC","Other Largely Urban CoC",792,11.3,"FALSE","3"
"CT-503",950519,"Bridgeport, Stamford, Norwalk, Danbury/Fairfield County CoC","Other Largely Urban CoC",603,6.3,"FALSE","2"
"CT-505",2675686,"Connecticut Balance of State CoC","Largely Suburban CoC",2327,8.7,"FALSE","2"
"GA-500",496461,"Atlanta CoC","Major City CoC",2017,40.6,"FALSE","9"
"GA-503",129185,"Athens-Clarke County CoC","Other Largely Urban CoC",283,21.9,"FALSE","5"
"GA-504",205358,"Augusta-Richmond County CoC","Other Largely Urban CoC",549,26.7,"FALSE","6"
"GU-500",170534,"Guam CoC","Largely Rural CoC",1087,63.7,"FALSE","9"
"IL-500",311592,"McHenry County CoC","Largely Suburban CoC",92,3,"FALSE","1"
"IL-510",2665039,"Chicago CoC","Major City CoC",3875,14.5,"FALSE","3"
"IL-511",5177606,"Cook County CoC","Largely Suburban CoC",1096,2.1,"FALSE","1"
"IL-514",926448,"DuPage County CoC","Largely Suburban CoC",555,6,"FALSE","2"
"KY-501",777378,"Louisville-Jefferson County CoC","Major City CoC",1080,13.9,"FALSE","3"
"KY-502",320347,"Lexington-Fayette County CoC","Other Largely Urban CoC",715,22.3,"FALSE","5"
"MA-505",100941,"New Bedford CoC","Largely Suburban CoC",370,36.7,"FALSE","8"
"MA-509",117090,"Cambridge CoC","Other Largely Urban CoC",440,37.6,"FALSE","8"
